pair_id,dataset,short_dataset,feature_build_sec_pair,feature_build_reduced_sec_pair,category,relation,model,scenario,rf_fit_sec_pair_share,rf_test_fold_appearances,runtime_sec_pair,runtime_note
TPC-DI__Joinable__prospect_vertical_1_ac1_ev,TPC-DI,prospect_vertical_1_ac1_ev,38.14,14.099808328654618,TPC-DI,Joinable,minilm,si_si2,5.42661401036749,1,43.56661401036749,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_30_ac5_av,TPC-DI,prospect_both_0_30_ac5_av,57.46,22.221178994551305,TPC-DI,View-Unionable,minilm,si_si2,12.894884620442308,1,70.3548846204423,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_30_ac3_ev,ChEMBL,assays_both_50_30_ac3_ev,60.795,23.437676426097752,ChEMBL,Joinable,minilm,si_si2,5.958538803030134,2,66.75353880303014,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ac3_av,ChEMBL,assays_both_0_1_ac3_av,44.31,16.292674511149528,ChEMBL,View-Unionable,minilm,si_si2,5.615673451915668,1,49.92567345191567,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_1_ec_av,OpenData,miller2_vertical_1_ec_av,178.661,74.71156557804346,OpenData,Semantically-Joinable,minilm,si_si2,6.490463595692778,1,185.15146359569277,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_vertical_1_ac2_ev,TPC-DI,prospect_vertical_1_ac2_ev,39.945,14.385308086574074,TPC-DI,Joinable,minilm,si_si2,5.39702322527711,2,45.34202322527711,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_30_ac5_ev,TPC-DI,prospect_both_0_30_ac5_ev,57.979,22.216415205687284,TPC-DI,View-Unionable,minilm,si_si2,5.958538803030134,2,63.93753880303014,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_30_ac4_ev,ChEMBL,assays_both_50_30_ac4_ev,66.305,22.96685042262078,ChEMBL,Joinable,minilm,si_si2,12.894884620442308,1,79.19988462044232,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ac3_ev,ChEMBL,assays_both_0_1_ac3_ev,43.501,16.00185963495075,ChEMBL,View-Unionable,minilm,si_si2,12.894884620442308,1,56.3958846204423,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_30_ac1_av,OpenData,miller2_vertical_30_ac1_av,289.575,124.07014778517186,OpenData,Semantically-Joinable,minilm,si_si2,5.615673451915668,1,295.19067345191564,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_vertical_1_ac3_ev,TPC-DI,prospect_vertical_1_ac3_ev,40.048,14.54020542237162,TPC-DI,Joinable,minilm,si_si2,5.863497224656632,4,45.911497224656635,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_30_ec_av,TPC-DI,prospect_both_0_30_ec_av,57.637,21.70493206371367,TPC-DI,View-Unionable,minilm,si_si2,5.834418297165666,2,63.47141829716567,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_30_ac5_ev,ChEMBL,assays_both_50_30_ac5_ev,63.211,23.410227498844264,ChEMBL,Joinable,minilm,si_si2,12.894884620442308,1,76.10588462044231,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ac4_av,ChEMBL,assays_both_0_1_ac4_av,44.42,16.46276401922107,ChEMBL,View-Unionable,minilm,si_si2,5.615673451915668,1,50.03567345191567,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_30_ac2_av,OpenData,miller2_vertical_30_ac2_av,281.193,120.00392695705592,OpenData,Semantically-Joinable,minilm,si_si2,5.302493504503021,2,286.49549350450303,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_vertical_1_ac4_ev,TPC-DI,prospect_vertical_1_ac4_ev,41.083,14.957352584127335,TPC-DI,Joinable,minilm,si_si2,5.92123784065059,1,47.00423784065059,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_30_ec_ev,TPC-DI,prospect_both_0_30_ec_ev,52.088,19.86478233385086,TPC-DI,View-Unionable,minilm,si_si2,5.42661401036749,1,57.51461401036749,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_30_ec_ev,ChEMBL,assays_both_50_30_ec_ev,61.394,23.782650219887493,ChEMBL,Joinable,minilm,si_si2,5.549805419644571,2,66.94380541964458,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ac4_ev,ChEMBL,assays_both_0_1_ac4_ev,44.176,16.115038077369334,ChEMBL,View-Unionable,minilm,si_si2,5.521143731141579,2,49.69714373114158,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_30_ac3_av,OpenData,miller2_vertical_30_ac3_av,288.307,123.26072109254824,OpenData,Semantically-Joinable,minilm,si_si2,5.92123784065059,1,294.2282378406506,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_vertical_1_ac5_ev,TPC-DI,prospect_vertical_1_ac5_ev,38.884,13.956485879063608,TPC-DI,Joinable,minilm,si_si2,6.490463595692778,1,45.37446359569278,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,TPC-DI,prospect_both_0_50_ac1_av,75.925,29.88991829864681,TPC-DI,View-Unionable,minilm,si_si2,5.863358144993974,3,81.78835814499396,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_50_ac1_ev,ChEMBL,assays_both_50_50_ac1_ev,79.352,30.95977133703232,ChEMBL,Joinable,minilm,si_si2,5.946105148903619,3,85.29810514890363,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ac5_av,ChEMBL,assays_both_0_1_ac5_av,42.324,15.651160544693468,ChEMBL,View-Unionable,minilm,si_si2,12.894884620442308,1,55.21888462044231,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_30_ac4_av,OpenData,miller2_vertical_30_ac4_av,290.315,124.78533405303956,OpenData,Semantically-Joinable,minilm,si_si2,5.67392592550904,2,295.988925925509,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_vertical_1_ec_ev,TPC-DI,prospect_vertical_1_ec_ev,36.835,13.45081199429929,TPC-DI,Joinable,minilm,si_si2,5.863358144993974,3,42.698358144993975,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,TPC-DI,prospect_both_0_50_ac1_ev,78.003,30.63706577892601,TPC-DI,View-Unionable,minilm,si_si2,5.549805419644571,2,83.55280541964457,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_50_ac2_ev,ChEMBL,assays_both_50_50_ac2_ev,79.206,31.35822350135446,ChEMBL,Joinable,minilm,si_si2,12.894884620442308,1,92.10088462044232,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
