method,pair_id,runtime_sec_pair,runtime_note
MetaSpace,ChEMBL__Semantically-Joinable__assays_both_50_1_ec_av,30.361431057808684,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_both_50_1_ac5_av,31.153411118601856,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ac1_ev,30.33687344841812,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_vertical_1_ac2_ev,30.43140316919221,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ac4_av,30.278620974824747,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ac3_ev,37.55783214335139,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ac3_av,30.278620974824747,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ac4_ev,30.184091254050657,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,30.21275294255365,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_1_ec_ev,37.55783214335139,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
