method,method_raw,pair_id,pair_id_raw,f1_all_to_all,precision_all_to_all,recall_all_to_all,runtime,scenario,source,dataset_group,relation_group
MetaMatch,rf,OpenData__View -Unionable__miller2_both_0_1_ec_av,OpenData__View -Unionable__miller2_both_0_1_ec_av,1.0,1.0,1.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet,OpenData,View-Unionable
SMUTF,,TPC-DI__Joinable__prospect_both_50_70_ac2_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Joinable
SMUTF,,TPC-DI__Unionable__prospect_horizontal_100_ac1_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Unionable
MagnetoFTGPT,MagnetoFTGPT,TPC-DI__Unionable__prospect_horizontal_100_ac1_ev,prospect_horizontal_100_ac1_ev_source.csv,1.0,1.0,1.0,20.022539377212524,,/Users/nahawandkired/Desktop/si_si-magneto.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Semantically-Joinable__prospect_both_50_70_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
SMUTF,,TPC-DI__Semantically-Joinable__prospect_both_50_70_ac1_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
MagnetoFTGPT,MagnetoFTGPT,TPC-DI__Unionable__prospect_horizontal_0_ec_ev,prospect_horizontal_0_ec_ev_source.csv,1.0,1.0,1.0,21.13064408302307,,/Users/nahawandkired/Desktop/si_si-magneto.csv,TPC-DI,Unionable
MagnetoFTGPT,MagnetoFTGPT,TPC-DI__Unionable__prospect_horizontal_0_ec_av,prospect_horizontal_0_ec_av_source.csv,1.0,1.0,1.0,21.3877182006836,,/Users/nahawandkired/Desktop/si_si-magneto.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Semantically-Joinable__prospect_both_50_50_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
MagnetoFTGPT,MagnetoFTGPT,TPC-DI__Unionable__prospect_horizontal_100_ec_av,prospect_horizontal_100_ec_av_source.csv,1.0,1.0,1.0,19.92880082130432,,/Users/nahawandkired/Desktop/si_si-magneto.csv,TPC-DI,Unionable
Cupid,Cupid,TPC-DI__View-Unionable__prospect_both_0_1_ac4_av,prospect_both_0_1_ac4_av_source.csv,1.0,1.0,1.0,8.805212020874023,,/Users/nahawandkired/Desktop/si_si-results.csv,TPC-DI,View-Unionable
SMUTF,,TPC-DI__Unionable__prospect_horizontal_100_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Unionable
MagnetoFTGPT,MagnetoFTGPT,TPC-DI__Unionable__prospect_horizontal_100_ec_ev,prospect_horizontal_100_ec_ev_source.csv,1.0,1.0,1.0,19.94039297103882,,/Users/nahawandkired/Desktop/si_si-magneto.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Unionable__prospect_horizontal_100_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Unionable__prospect_horizontal_50_ac1_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Unionable__prospect_horizontal_50_ac1_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Semantically-Joinable__prospect_both_50_30_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
SMUTF,,TPC-DI__Semantically-Joinable__prospect_both_50_1_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Semantically-Joinable
Cupid,Cupid,TPC-DI__Unionable__prospect_horizontal_50_ac1_ev,prospect_horizontal_50_ac1_ev_source.csv,1.0,1.0,1.0,87.28895258903503,,/Users/nahawandkired/Desktop/si_si-results.csv,TPC-DI,Unionable
SMUTF,,TPC-DI__Unionable__prospect_horizontal_100_ac1_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Unionable
MetaMatch,rf,OpenData__View -Unionable__miller2_both_0_1_ec_ev,OpenData__View -Unionable__miller2_both_0_1_ec_ev,1.0,1.0,1.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet,OpenData,View-Unionable
Cupid,Cupid,TPC-DI__Unionable__prospect_horizontal_100_ec_ev,prospect_horizontal_100_ec_ev_source.csv,1.0,1.0,1.0,57.06668758392334,,/Users/nahawandkired/Desktop/si_si-results.csv,TPC-DI,Unionable
