config,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
syn_topological,1,TPC-DI__Joinable__prospect_vertical_1_ec_ev,132,1,1.0,1.0,1.0,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,272,11,1.0,0.18181818181818182,0.3076923076923077,53
syn_topological,1,ChEMBL__View-Unionable__assays_both_0_1_ac5_ev,144,1,0.0,0.0,0.0,53
syn_topological,1,OpenData__Semantically-Joinable__miller2_vertical_30_ac5_av,1089,15,1.0,0.06666666666666667,0.125,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_50_ac2_ev,272,11,1.0,0.45454545454545453,0.625,53
syn_topological,1,ChEMBL__View-Unionable__assays_both_0_30_ac1_av,210,6,1.0,0.16666666666666666,0.2857142857142857,53
syn_topological,1,ChEMBL__View-Unionable__assays_both_0_30_ac1_ev,210,6,1.0,0.3333333333333333,0.5,53
syn_topological,1,OpenData__Semantically-Joinable__miller2_vertical_50_ac3_av,1444,25,1.0,0.36,0.5294117647058824,53
syn_topological,1,TPC-DI__Joinable__prospect_vertical_30_ec_ev,196,6,1.0,1.0,1.0,53
syn_topological,1,ChEMBL__View-Unionable__assays_both_0_30_ac2_ev,210,6,1.0,0.5,0.6666666666666666,53
syn_topological,1,TPC-DI__Joinable__prospect_vertical_50_ac1_ev,272,11,1.0,0.9090909090909091,0.9523809523809523,53
syn_topological,1,OpenData__Semantically-Joinable__miller2_vertical_70_ac1_av,1849,35,1.0,0.2,0.3333333333333333,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_50_ec_av,272,11,1.0,0.45454545454545453,0.625,53
syn_topological,1,ChEMBL__Joinable__assays_both_50_70_ec_ev,380,16,1.0,0.5,0.6666666666666666,53
syn_topological,1,TPC-DI__Joinable__prospect_vertical_50_ac5_ev,272,11,1.0,0.9090909090909091,0.9523809523809523,53
syn_topological,1,ChEMBL__Joinable__assays_vertical_1_ac1_ev,144,1,1.0,1.0,1.0,53
syn_topological,1,ChEMBL__Joinable__assays_vertical_1_ac2_ev,144,1,1.0,1.0,1.0,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_70_ac2_av,342,15,1.0,0.3333333333333333,0.5,53
syn_topological,1,ChEMBL__View-Unionable__assays_both_0_30_ec_av,210,6,1.0,0.16666666666666666,0.2857142857142857,53
syn_topological,1,OpenData__Semantically-Joinable__miller2_vertical_70_ec_av,1849,35,0.9545454545454546,0.6,0.7368421052631579,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_70_ac2_ev,342,15,1.0,0.6,0.75,53
syn_topological,1,ChEMBL__View-Unionable__assays_both_0_30_ec_ev,210,6,1.0,0.6666666666666666,0.8,53
syn_topological,1,OpenData__Unionable__miller2_horizontal_0_ac1_ev,2601,51,1.0,0.37254901960784315,0.5428571428571428,53
syn_topological,1,TPC-DI__Joinable__prospect_vertical_70_ac5_ev,342,15,1.0,1.0,1.0,53
syn_topological,1,OpenData__Unionable__miller2_horizontal_0_ac2_ev,2601,51,1.0,0.8823529411764706,0.9375,53
syn_topological,1,TPC-DI__Joinable__prospect_vertical_70_ec_ev,342,15,1.0,1.0,1.0,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_70_ac5_av,342,15,1.0,0.06666666666666667,0.125,53
syn_topological,1,ChEMBL__Joinable__assays_vertical_30_ac3_ev,210,6,1.0,1.0,1.0,53
syn_topological,1,TPC-DI__View-Unionable__prospect_both_0_70_ac5_ev,342,15,1.0,0.13333333333333333,0.23529411764705882,53
syn_topological,1,OpenData__Unionable__miller2_horizontal_0_ac4_av,2601,51,1.0,0.45098039215686275,0.6216216216216216,53
syn_topological,1,TPC-DI__Semantically-Joinable__prospect_both_50_1_ac3_av,132,1,0.0,0.0,0.0,53
syn_topological,1,ChEMBL__Joinable__assays_vertical_30_ac5_ev,210,6,1.0,0.6666666666666666,0.8,53
syn_topological,1,OpenData__Unionable__miller2_horizontal_0_ac4_ev,2601,51,1.0,0.5686274509803921,0.725,53
syn_topological,1,ChEMBL__Joinable__assays_vertical_30_ec_ev,210,6,1.0,0.8333333333333334,0.9090909090909091,53
syn_topological,1,ChEMBL__Joinable__assays_vertical_50_ac1_ev,289,11,1.0,0.7272727272727273,0.8421052631578947,53
syn_topological,1,Wikidata__Musicians__Musicians_semjoinable,196,8,1.0,0.75,0.8571428571428571,53
syn_topological,1,ChEMBL__View-Unionable__assays_both_0_50_ac5_ev,289,11,1.0,0.36363636363636365,0.5333333333333333,53
syn_topological,1,OpenData__Unionable__miller2_horizontal_0_ec_av,2601,51,0.94,0.9215686274509803,0.9306930693069307,53
syn_topological,1,ChEMBL__View-Unionable__assays_both_0_50_ec_av,289,11,1.0,0.18181818181818182,0.3076923076923077,53
syn_topological,1,TPC-DI__Semantically-Joinable__prospect_both_50_30_ac3_av,196,6,0.0,0.0,0.0,53
syn_topological,1,TPC-DI__Semantically-Joinable__prospect_both_50_30_ac4_av,196,6,1.0,0.3333333333333333,0.5,53
